B1	B2	B3	N_l1	N_l2	N_l3	N_t	C_l1	C_l2	C_l3	C_t	Diff(C_t - N_t)	LessThanZero
1	8	8	125572	160271	104490	1621	131514	135253	23119	2275	654	no
1	8	8	126104	160395	103747	1910	128065	135570	41874	2528	618	no
1	8	8	126154	159648	42686	1610	128204	140355	28348	2314	704	no
1	8	8	125515	163392	104325	1746	135699	143750	39407	2497	751	no
1	8	8	126161	162421	37181	1382	128180	140699	20168	1976	594	no
1	8	8	126216	163223	102710	1642	129922	140541	38213	2532	890	no
1	8	8	126235	161311	27806	1385	130615	139742	23529	1991	606	no
1	8	8	125411	154680	43138	1603	132936	135026	21895	2295	692	no
1	8	8	125988	162410	18382	1353	137329	140050	7641	1904	551	no
1	8	8	125530	155522	28863	1559	125295	134374	21617	2267	708	no
1	8	16	125616	155944	35758	1580	129240	137143	22320	1933	353	no
1	8	16	125608	155183	43245	1699	126895	135197	29754	2020	321	no
1	8	16	126048	162898	18558	1389	136428	154285	6372	1664	275	no
1	8	16	125581	159298	104178	1909	127067	138074	7665	2288	379	no
1	8	16	125548	157742	18017	1443	125053	135342	6713	1667	224	no
1	8	16	125803	165663	49904	1773	126704	141570	44054	2067	294	no
1	8	16	125904	160268	16367	1406	141577	151864	5959	1600	194	no
1	8	16	126705	171777	102878	1831	140455	155079	15316	1945	114	no
1	8	16	126067	163436	39746	1426	142991	153197	22245	1660	234	no
1	8	16	125465	159826	104498	1890	138332	153207	49089	2142	252	no
1	8	32	126199	162104	18499	1404	133797	158212	21996	1726	322	no
1	8	32	126427	165329	49948	1848	137070	165230	37082	1891	43	no
1	8	32	126358	161900	30333	1410	128373	156526	10609	1539	129	no
1	8	32	126092	166869	40674	1572	134266	162505	20716	1744	172	no
1	8	32	126099	161233	17098	1361	127551	157519	7158	1506	145	no
1	8	32	125508	160296	104126	1721	125843	151490	27525	1841	120	no
1	8	32	125614	156765	15818	1441	126091	150539	14819	1734	293	no
1	8	32	125560	163769	104402	1881	128340	155931	13683	1970	89	no
1	8	32	125427	149439	16884	1447	127402	141787	6749	1542	95	no
1	8	32	125470	158423	64075	1864	128470	150561	38730	2009	145	no
1	8	64	126193	165935	21466	1379	126719	159555	7328	1418	39	no
1	8	64	126152	160585	102720	1643	126523	155891	12703	1679	36	no
1	8	64	126088	163431	16923	1365	127128	158233	6035	1459	94	no
1	8	64	126000	157897	102928	1619	126572	152290	17112	1663	44	no
1	8	64	125941	162249	14951	1361	128662	176959	11497	1968	607	no
1	8	64	126127	159794	47072	1490	127093	155443	28390	1610	120	no
1	8	64	125505	161455	19817	1440	125690	160359	7366	1506	66	no
1	8	64	125324	159989	104042	1726	125721	156960	18282	1734	8	no
1	8	64	125619	161723	104536	1817	126002	160662	14720	1900	83	no
1	8	64	125511	158292	17718	1454	125879	155971	7258	1535	81	no
1	16	1	126000	159174	102922	1561	330362	147982	32325	5013	3452	no
1	16	1	125611	158239	17099	1415	281617	142770	7262	4168	2753	no
1	16	1	126109	158038	103101	1530	342487	148198	13371	4617	3087	no
1	16	1	125759	162929	28743	1523	345002	150938	22841	4308	2785	no
1	16	1	125504	158602	23087	1552	330021	153307	27349	4670	3118	no
1	16	1	125527	160222	19733	1461	286290	148162	7582	4272	2811	no
1	16	1	126171	166320	80342	1889	330336	162243	64372	5634	3745	no
1	16	1	125893	156846	25780	1356	373471	152301	13294	4379	3023	no
1	16	1	125420	155121	104053	1734	309773	144730	40935	5132	3398	no
1	16	1	125587	156704	18948	1470	307719	142101	8072	4312	2842	no
1	16	2	125457	152052	104539	1600	225554	134234	30979	3956	2356	no
1	16	2	125679	155938	43437	1614	202740	138246	25230	3506	1892	no
1	16	2	125517	156924	104286	1941	205724	140191	39796	4594	2653	no
1	16	2	125515	159207	15720	1485	214318	142881	6317	3245	1760	no
1	16	2	125585	158187	26128	1624	216451	143507	35585	4109	2485	no
1	16	2	125583	164157	17556	1492	206893	145020	6997	3280	1788	no
1	16	2	125571	159467	104103	1596	219903	143374	10863	3792	2196	no
1	16	2	125532	156809	28967	1622	215251	143336	25832	3473	1851	no
1	16	2	125504	159011	104010	1761	213414	145155	26352	3959	2198	no
1	16	2	125600	152232	21182	1534	216510	137489	23550	3527	1993	no
1	16	4	125491	155817	45155	1701	174930	138494	35953	3399	1698	no
1	16	4	125603	161439	15878	1459	182985	140132	6505	2852	1393	no
1	16	4	125907	159092	102562	1548	295349	153891	43538	3458	1910	no
1	16	4	125585	162016	15642	1441	176012	141337	5454	2889	1448	no
1	16	4	126191	163586	102833	1668	302210	140280	40946	3575	1907	no
1	16	4	125540	155890	17035	1440	177316	136024	8481	2873	1433	no
1	16	4	125719	161276	103450	1767	288688	141215	37340	3814	2047	no
1	16	4	125598	163079	104493	1652	184965	147425	36020	3501	1849	no
1	16	4	125487	161470	53087	1754	172230	143907	44436	3441	1687	no
1	16	4	125514	159560	104216	1720	190650	140900	7109	3289	1569	no
1	16	8	125541	162342	104474	1852	173037	142548	39379	2694	842	no
1	16	8	125855	159175	28806	1541	173835	137936	21635	2060	519	no
1	16	8	125536	162709	43356	1587	168990	143808	22378	2238	651	no
1	16	8	125598	161347	17550	1456	167909	140943	7027	1969	513	no
1	16	8	125502	161429	104413	1760	167309	139712	1662	2165	405	no
1	16	8	125770	161863	37580	1509	172354	138075	19606	2123	614	no
1	16	8	125417	158559	25975	1548	165826	139662	10261	2166	618	no
1	16	8	125536	158304	104015	1761	171234	136417	43526	2514	753	no
1	16	8	125577	158841	104182	1741	168562	135734	9874	2209	468	no
